奥迪A7L
基本信息
前倒车雷达,"●
"
后倒车雷达,"●
"
倒车车侧预警系统,"-
"
驻车影像系统,"-
"
巡航系统,"-
"
驾驶模式选择,"●
"
车道保持,"-
"
车道偏离预警,"-
"
道路交通标识识别,"-
"
并线辅助,"-
"
碰撞报警/主动刹车,"-
"
疲劳提醒,"●
"
自动泊车,"-
"
遥控泊车,"-
"
发动机启停,"-
"
自动驻车,"●
"
上坡辅助,"●
"
陡坡缓降,"●
"
夜视系统,"-
"
可变齿比转向,"-
"
整体主动转向系统,"-
"
外部配置
近光灯光源,"●LED
"
远光灯光源,"●LED
"
灯光特色功能,"-
"
LED日间行车灯,"●
"
大灯功能,"●自动开闭
●自动远近光
●自动转向
"
前雾灯,"-
"
大灯调节/清洗,"●高度调节
●大灯清洗
"
天窗类型,"●单天窗
"
运动外观套件,"-
"
轮圈材质,"铝合金轮圈
"
前电动车窗,"●
"
后电动车窗,"●
"
车窗一键升降,"●全车
"
车窗防夹手功能,"●
"
多层隔音玻璃,"-
"
外后视镜电动调节,"●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
"
外后视镜自动防眩目,"●
"
内后视镜自动防眩目,"●
"
流媒体内后视镜,"-
"
流媒体外后视镜,"-
"
隔热/隐私玻璃,"●
"
后排侧遮阳帘,"-
"
后遮阳帘,"-
"
前雨刷器,"●感应雨刷
"
后雨刷器,"-
"
可加热喷水嘴,"-
"
电吸门,"-
"
电动侧滑门,"-
"
行李厢开启功能,"-
"
车顶行李架,"-
"
中控锁,"●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
"
远程启动功能,"-
"
主动闭合式进气格栅,"-
"
尾翼/扰流板,"-
"
内部配置
内饰材质,"●皮质
"
车内氛围灯,"-
"
遮阳板化妆镜,"●
"
方向盘材质,"●皮质
"
多功能方向盘,"●
"
方向盘调节,"●上下调节
●前后调节
"
方向盘加热,"-
"
方向盘换挡,"-
"
前排空调,"●双温区自动空调
"
后排空调,"●双温区自动空调
"
车载空气净化器,"-
"
车内PM2.5过滤装置,"-
"
负离子发生器,"-
"
香氛系统,"-
"
车载冰箱,"-
"
主动降噪,"-
"
座椅配置
座椅材质,"●皮质
"
运动风格座椅,"-
"
主座椅电动调节,"●电动调节
"
副座椅电动调节,"●电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
第二排座椅电动调节,"-
"
第二排座椅调节方式,"-
"
前排座椅功能,"-
"
后排座椅功能,"-
"
前中央扶手,"●
"
后中央扶手,"●
"
第三排座椅,"-
"
座椅布局,"-
"
后排座椅放倒方式,"-
"
后排杯架,"●
"
后排折叠桌板,"-
"
信息娱乐
中控彩色液晶屏,"●触控式液晶屏
"
液晶屏尺寸,"●10.1
"
全液晶仪表盘,"●
"
行车电脑显示屏,"●
"
HUD平视显示,"-
"
GPS导航系统,"●GPS导航
●实时路况
●在线地图
"
紧急道路救援,"●
"
蓝牙/WiFi连接,"●蓝牙
●WiFi
"
车载APP应用,"-
"
4G网络,"●
"
车载WiFi热点,"-
"
OTA升级,"-
"
语音控制,"●语音控制
"
手机互联,"●CarPlay
"
手机无线充电,"-
"
手势控制系统,"-
"
CD/DVD,"-
"
外接音源接口,"●USB
"
车载行车记录仪,"-
"
车载电视,"-
"
后排控制多媒体,"-
"
扬声器数量[个],"●12个以上
"
后排液晶屏,"-
"
音响品牌,"-
"
车载220V电源,"-
"
