奥迪Q5L
基本信息
外观颜色,"#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#690a1e斗牛士红
#162B66极光蓝
#3a3a3a天云灰
#5b4e48搜狐棕
#011b30星际蓝
#DFE4DD唐古拉白
#0B2139律动蓝
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
","#ffffff朱鹭白
#000000传奇黑
#3e494c季风灰
#2a3381探索蓝
#aaadb0花剑银
#562833风尚红
#3c2717古铜棕
#424637可汗绿
"
内饰颜色,"#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000,#821E22黑色/阿拉斯红
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#821E22黑色/阿拉斯红
#000000,#472D10黑色/欧皮卡棕
","#000000黑色
#000000,#A4A899黑色/岩石灰
#000000,#433228黑色/克里奥棕
","#40423F,#a4a899花岗岩灰/岩石灰
#000000,#D7D8CA黑色/阿特拉斯米
#000000,#3c2717黑色/雪松棕
#000000黑色
#000000,#96140A黑色/玫瑰红
#000000,#503C28黑色/古铜棕
","#40423F,#a4a899花岗岩灰/岩石灰
#000000,#D7D8CA黑色/阿特拉斯米
#000000,#3c2717黑色/雪松棕
#000000黑色
#000000,#96140A黑色/玫瑰红
#000000,#503C28黑色/古铜棕
#000000,#40423F黑色/花岗岩灰
#000000,#A4A899黑色/岩石灰
","#40423F,#a4a899花岗岩灰/岩石灰
#000000,#D7D8CA黑色/阿特拉斯米
#000000,#3c2717黑色/雪松棕
#000000黑色
","#40423F,#a4a899花岗岩灰/岩石灰
#000000,#D7D8CA黑色/阿特拉斯米
#000000,#3c2717黑色/雪松棕
#000000黑色
","#000000,#3c2717黑色/雪松棕
#000000黑色
#000000,#A4A899黑色/岩石灰
","#000000黑色
#000000,#A4A899黑色/岩石灰
"
车身尺寸
长*宽*高[mm],"4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4770*1893*1667
","4753*1893*1659
","4765*1893*1659
","4753*1893*1659
","4765*1893*1659
","4765*1893*1659
","4765*1893*1659
"
轴距[mm],"2907
","2907
","2907
","2907
","2907
","2907
","2907
","2907
","2908
","2908
","2908
","2908
","2908
","2908
"
整备质量[kg],"1890
","1890
","1890
","1890
","1890
","1895
","1895
","1935
","1855
","1855
","1875
","1875
","1875
","1875
"
前轮距[mm],"-
","-
","-
","-
","-
","-
","-
","-
","1616
","1616
","1616
","1616
","1616
","1616
"
后轮距[mm],"-
","-
","-
","-
","-
","-
","-
","-
","1610
","1610
","1610
","1610
","1610
","1610
"
座位数[个],"5
","5
","5
","5
","5
","5
","5
","5
","5
","5
","5
","5
","5
","5
"
行李厢容积[L],"550
","550
","550
","550
","550
","550
","550
","550
","550
","550
","550
","550
","550
","550
"
油箱容积[L],"73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
","73.0
"
前轮胎规格,"235/55 R19
","235/55 R19
","235/55 R19
","235/55 R19
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
","235/55 R19
","235/55 R19
","255/45 R20
","235/55 R19
","255/45 R20
","255/45 R20
"
后轮胎规格,"235/55 R19
","235/55 R19
","235/55 R19
","235/55 R19
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
","235/55 R19
","235/55 R19
","255/45 R20
","235/55 R19
","255/45 R20
","255/45 R20
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"11.8
","11.8
","11.8
","11.8
","11.8
","11.8
","11.8
","11.8
","12.2
","12.2
","12.2
","12.2
","12.2
","12.2
"
最小离地间隙[mm],"166
","166
","166
","166
","166
","166
","166
","166
","179
","179
","179
","179
","179
","179
"
动力系统
发动机型号,"DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
","DKW
"
排量[mL],"1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
","4
","4
","4
","4
","4
","4
","4
","4
","4
"
最大功率[kW],"140
","140
","140
","140
","140
","185
","185
","185
","140
","140
","185
","185
","185
","185
"
最大马力[Ps],"190
","190
","190
","190
","190
","252
","252
","252
","190
","190
","252
","252
","252
","252
"
最大功率转速[rpm],"4200-6000
","4200-6000
","4200-6000
","4200-6000
","4200-6000
","5000-6000
","5000-6000
","5000-6000
","4200-6000
","4200-6000
","5000-6000
","5000-6000
","5000-6000
","5000-6000
"
最大扭矩[N·m],"320
","320
","320
","320
","320
","370
","370
","370
","320
","320
","370
","370
","370
","370
"
最大扭矩转速[rpm],"1450-4200
","1450-4200
","1450-4200
","1450-4200
","1450-4200
","1600-4300
","1600-4300
","1600-4300
","1450-4200
","1450-4200
","1600-4500
","1600-4500
","1600-4500
","1600-4500
"
燃油标号,"95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
"
供油方式,"直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
","直喷
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
","7
","7
","7
","7
","7
","7
","7
","7
","7
","7
"
底盘制动
驱动形式,"适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
可调悬架种类,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
后侧气囊,"○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","○选配1600元
","●
","○选配1600元
","●
","●
"
侧安全气帘,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
膝部气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","○选配3000元
","●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
倒车车侧预警系统,"○选配1200元
","○选配1200元
","○选配1200元
","○选配1200元
","○选配1200元
","○选配1200元
","○选配1200元
","●
","-
","-
","-
","-
","-
","-
"
驻车影像系统,"●后方影像
○360度全景摄像3700元
","●后方影像
○360度全景摄像3700元
","●后方影像
○360度全景摄像3700元
","●后方影像
○360度全景摄像3700元
","●后方影像
○360度全景摄像3700元
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","○后方影像2300元
","●后方影像
○360度全景摄像3700元
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
"
巡航系统,"●定速巡航
","●定速巡航
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●ACC自适应巡航
","●定速巡航
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
车道保持,"-
","-
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","●
","○选配4600元
","○选配4600元
","○选配4600元
","○选配4600元
","○选配4600元
","●
"
车道偏离预警,"-
","-
","●
","●
","●
","●
","●
","●
","○
","○
","○
","○
","○
","●
"
道路交通标识识别,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
并线辅助,"○选配7000元
","○选配7000元
","○选配7000元
","○选配7000元
","○选配7000元
","○选配7000元
","○选配7000元
","●
","○选配7000元
","○选配7000元
","●
","●
","●
","●
"
碰撞报警/主动刹车,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
疲劳提醒,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
自动泊车,"○选配1300元
","○选配1300元
","●
","●
","●
","●
","●
","●
","-
","○选配1300元
","●
","●
","●
","●
"
遥控泊车,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
自动驾驶辅助,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
自动驻车,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
陡坡缓降,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
夜视系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
可变齿比转向,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
整体主动转向系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●氙气
○LED6500元
","●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●氙气
○LED6500元
","●LED
","●LED
","●LED
","●LED
","●LED
"
灯光特色功能,"○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","●矩阵式
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","○矩阵式8000元
","●矩阵式
"
LED日间行车灯,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
●自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动转向
"
前雾灯,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
大灯调节/清洗,"●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
"
运动外观套件,"●
","-
","●
","-
","●
","●
","-
","●
","-
","●
","○选配4000元
","●
","●
","●
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
后电动车窗,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
车窗一键升降,"●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
多层隔音玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
外后视镜电动调节,"●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●后视镜加热
○电动折叠1200元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1800元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1800元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆1000元
"
外后视镜自动防眩目,"○选配800元
","○选配800元
","●
","●
","●
","●
","●
","●
","○
","●
","●
","●
","●
","●
"
内后视镜自动防眩目,"○选配1500元
","○选配1500元
","●
","●
","●
","●
","●
","●
","○选配1500元
","●
","●
","●
","●
","●
"
流媒体内后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
流媒体外后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
隔热/隐私玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排侧遮阳帘,"○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
"
后遮阳帘,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
电吸门,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
电动侧滑门,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
行李厢开启功能,"●电动开合
○自动感应
","●电动开合
○自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
○自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
"
车顶行李架,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●无钥匙启动
○智能进入4000元
","●无钥匙启动
○智能进入4000元
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●无钥匙启动
○智能进入4000元
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
远程启动功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
主动闭合式进气格栅,"●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
","●
"
尾翼/扰流板,"-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
","-
"
内部配置
